fecha,Ruta,OperadOR,ac_type,all_aboard,cantidad de fallecidos,ground
1970-06-10,"Near Huaricanga, Peru",Military - LADE,Fokker F-27 Friendship 400M,8,5,0
1970-07-03,"McGrath, Alakska",Reeder Flying Service,Douglas DC-3,27,5,0
1970-07-03,"Near Arbucias, Gerona, Spain",Dan Air Services,de Havilland Comet 4,112,112,0
1970-07-05,"Toronto, Canada",Air Canada,McDonnell Douglas DC-8-63,109,109,0
1970-07-18,North Atlantic Ocean,Military - Soviet Air Force,Antonov AN-22,23,23,0
1970-07-27,"Tokyo, Japan",Flying Tiger Line,McDonnell Douglas DC-8-63AF,4,4,0
1970-08-03,"Near Las Vegas, Nevada",Military - United States Navy,Lockheed P-3A Orion,10,10,0
1970-08-06,"Islamabad, Pakistan",Pakistan International Airlines,Fokker F-27 Friendship 200,30,30,0
1970-08-09,"Near Cuzco, Peru",Lineas Aereas Nacionales SA (Peru),Lockheed 188A Electra,100,99,2
1970-08-12,"Taipei, Taiwan",China Airlines (Taiwan),NAMC YS-11A-219,31,14,0
1970-08-26,"Near Tam Ky, South Vietnam",Military - U.S. Army,Boeing Vertol CH47B (helicopter),32,30,0
1970-08-29,"Near Silchar, India",Indian Airlines,Fokker F-27 Friendship 400,39,39,0
1970-08-30,"Haringvreter, Netherlands",Dutch Continental Airways,Britten-Norman BN-2A Islander,10,3,0
1970-09-02,"Lihovka, Ukraine",Aeroflot,Tupolev Tu-124,37,37,0
1970-09-02,"Near Dnepropetrovsk, Ukraine, USSR",Aeroflot,Tupolev TU-124,37,37,0
